provinceName;provinceID;districtName;districtID;neighborhoodName;neighborhoodID
Amasya;27;Merkez;152;Sarıkız Köyü;170191
Amasya;27;Merkez;152;Kızoğlu Köyü;170991
Amasya;27;Merkez;152;Albayrak Köyü;180699
Amasya;27;Merkez;152;Duruca Köyü;201421
Amasya;27;Merkez;152;Eskikızılca Köyü;201422
Amasya;27;Merkez;152;Yuvacık Köyü;201423
Amasya;27;Merkez;152;Büyükkızılca Köyü;201432
Amasya;27;Merkez;152;Uygur/Yeni;203828
Amasya;27;Merkez;152;Uygur/İnönü;203829
Amasya;27;Merkez;152;Yeşilyenice/Boğaziçi;204630
Amasya;27;Merkez;152;Yeşilyenice/Yenimahalle;204631
Amasya;27;Merkez;152;Yassıçal/Filingirler;204632
Amasya;27;Merkez;152;Yassıçal/Erkonaş;204633
Amasya;27;Merkez;152;Yassıçal/Gölönü;204634
Amasya;27;Merkez;152;Keçili Köyü;205315
Amasya;27;Merkez;152;Özfındıklı Köyü;205316
Amasya;27;Merkez;152;Yeşildere Köyü;205317
Amasya;27;Merkez;152;Yıldız Köyü;205495
Amasya;27;Merkez;152;Akbilek;206525
Amasya;27;Merkez;152;Çakallar;206526
Amasya;27;Merkez;152;Göllübağları;206527
Amasya;27;Merkez;152;Yazıbağları;206528
Amasya;27;Göynücek;153;Ayvalıpınar Köyü;46778
Amasya;27;Göynücek;153;Gediksaray Köyü;46779
Amasya;27;Göynücek;153;Merkez;47098
Amasya;27;Göynücek;153;Yeniköy Köyü;47136
Amasya;27;Göynücek;153;Şarklı Köyü;47172
Amasya;27;Göynücek;153;Kışlabeyi Köyü;47181
Amasya;27;Göynücek;153;Sığırçayı Köyü;47199
Amasya;27;Göynücek;153;Damlaçimen Köyü;47234
Amasya;27;Göynücek;153;Kervansaray Köyü;47463
Amasya;27;Göynücek;153;Konuralan Köyü;47496
Amasya;27;Göynücek;153;Çaykışla Köyü;48095
Amasya;27;Göynücek;153;Davutevi Köyü;48128
Amasya;27;Göynücek;153;Asar Köyü;48233
Amasya;27;Göynücek;153;Ilısu Köyü;48239
Amasya;27;Göynücek;153;Başpınar Köyü;48260
Amasya;27;Göynücek;153;Çamurlu Köyü;48268
Amasya;27;Göynücek;153;Yeni;48289
Amasya;27;Göynücek;153;Şeyhler Köyü;48302
Amasya;27;Göynücek;153;Kertme Köyü;48306
Amasya;27;Göynücek;153;Harmancık Köyü;48311
Amasya;27;Göynücek;153;Cumhuriyet;48315
Amasya;27;Göynücek;153;İkizyaka Köyü;48328
Amasya;27;Göynücek;153;Yassıkışla Köyü;48334
Amasya;27;Göynücek;153;Karaşar Köyü;48337
Amasya;27;Göynücek;153;Çulpara Köyü;48369
Amasya;27;Göynücek;153;Beşiktepe Köyü;48569
Amasya;27;Göynücek;153;Abacı Köyü;48601
Amasya;27;Göynücek;153;Karayakup Köyü;48661
Amasya;27;Göynücek;153;Tencirli Köyü;48809
Amasya;27;Göynücek;153;Çayan Köyü;48868
Amasya;27;Göynücek;153;Koyuncu Köyü;48909
Amasya;27;Göynücek;153;Kafarlı Köyü;134259
Amasya;27;Göynücek;153;Kuyulu Kavaklı Köyü;136511
Amasya;27;Göynücek;153;Ardıçpınar Köyü;152928
Amasya;27;Göynücek;153;Gökçeli Köyü;153432
Amasya;27;Göynücek;153;Bekdemir Köyü;153475
Amasya;27;Göynücek;153;Terzi Köyü;153622
Amasya;27;Göynücek;153;Hasanbey Köyü;154244
Amasya;27;Göynücek;153;Alan Köyü;155733
Amasya;27;Göynücek;153;Şeyhoğlu Köyü;155865
Amasya;27;Göynücek;153;Penpeli Köyü;157204
Amasya;27;Gümüşhacıköy;154;Ovabaşı Köyü;133770
Amasya;27;Gümüşhacıköy;154;Çıtlıbağlıca Köyü;134062
Amasya;27;Gümüşhacıköy;154;Güvemözü Köyü;134551
Amasya;27;Gümüşhacıköy;154;Saray;134683
Amasya;27;Gümüşhacıköy;154;Sallar Köyü;134804
Amasya;27;Gümüşhacıköy;154;Konuktepe Köyü;134836
Amasya;27;Gümüşhacıköy;154;Sekü Köyü;134837
Amasya;27;Gümüşhacıköy;154;Koltuk Köyü;134948
Amasya;27;Gümüşhacıköy;154;Saraycık Köyü;135090
Amasya;27;Gümüşhacıköy;154;Çiftçioğlu Köyü;136676
Amasya;27;Gümüşhacıköy;154;Çavuş Köyü;149845
Amasya;27;Gümüşhacıköy;154;Alören Köyü;150030
Amasya;27;Gümüşhacıköy;154;Balıklı Köyü;150031
Amasya;27;Gümüşhacıköy;154;Hacıyahya;151938
Amasya;27;Gümüşhacıköy;154;Eslemez Köyü;152108
Amasya;27;Gümüşhacıköy;154;Karakaya Köyü;152304
Amasya;27;Gümüşhacıköy;154;Kılıçaslan Köyü;152666
Amasya;27;Gümüşhacıköy;154;Kızık Köyü;152916
Amasya;27;Gümüşhacıköy;154;Bacakoğlu Köyü;152929
Amasya;27;Gümüşhacıköy;154;İmirler Köyü;153017
Amasya;27;Gümüşhacıköy;154;Bademli Köyü;153458
Amasya;27;Gümüşhacıköy;154;Karacaören Köyü;153623
Amasya;27;Gümüşhacıköy;154;Karaali Köyü;153654
Amasya;27;Gümüşhacıköy;154;Köseler Köyü;153784
Amasya;27;Gümüşhacıköy;154;Keçiköy Köyü;153943
Amasya;27;Gümüşhacıköy;154;Kuzalan Köyü;154069
Amasya;27;Gümüşhacıköy;154;Sarayözü Köyü;154104
Amasya;27;Gümüşhacıköy;154;Korkut Köyü;154577
Amasya;27;Gümüşhacıköy;154;Pusacık Köyü;154706
