no,province,provinceID,district,districtID,neighborhood,neighborhoodID
110,Amasya,27,Merkez,152,Şamlar,126990
111,Amasya,27,Merkez,152,Şehirüstü,126989
112,Amasya,27,Merkez,152,Şeyhcui Köyü,127066
113,Amasya,27,Merkez,152,Şeyhsadi Köyü,127065
114,Amasya,27,Merkez,152,Tatar Köyü,127070
115,Amasya,27,Merkez,152,Tuzsuz Köyü,127315
116,Amasya,27,Merkez,152,Uygur/İnönü,203829
117,Amasya,27,Merkez,152,Uygur/Yeni,203828
118,Amasya,27,Merkez,152,Üçler,126991
119,Amasya,27,Merkez,152,Ümük Köyü,127317
120,Amasya,27,Merkez,152,Yağcıabdal Köyü,127321
121,Amasya,27,Merkez,152,Yağmur Köyü,127320
122,Amasya,27,Merkez,152,Yassıçal Köyü,127334
123,Amasya,27,Merkez,152,Yassıçal/Erkonaş,204633
124,Amasya,27,Merkez,152,Yassıçal/Filingirler,204632
125,Amasya,27,Merkez,152,Yassıçal/Gölönü,204634
126,Amasya,27,Merkez,152,Yavru Köyü,127319
127,Amasya,27,Merkez,152,Yazıbağları,206528
128,Amasya,27,Merkez,152,Yeniköy Köyü,127064
129,Amasya,27,Merkez,152,Yeşildere Köyü,205317
130,Amasya,27,Merkez,152,Yeşilöz Köyü,127322
131,Amasya,27,Merkez,152,Yeşilyenice/Boğaziçi,204630
132,Amasya,27,Merkez,152,Yeşilyenice/Yenimahalle,204631
133,Amasya,27,Merkez,152,Yıkılgan Köyü,127324
134,Amasya,27,Merkez,152,Yıldız Köyü,205495
135,Amasya,27,Merkez,152,Yolyanı Köyü,127323
136,Amasya,27,Merkez,152,Yuva Köyü,127325
137,Amasya,27,Merkez,152,Yuvacık Köyü,201423
138,Amasya,27,Merkez,152,Yüzevler,126992
139,Amasya,27,Merkez,152,Ziyere Köyü,127330
140,Amasya,27,Göynücek,153,Abacı Köyü,48601
141,Amasya,27,Göynücek,153,Alan Köyü,155733
142,Amasya,27,Göynücek,153,Ardıçpınar Köyü,152928
143,Amasya,27,Göynücek,153,Asar Köyü,48233
144,Amasya,27,Göynücek,153,Ayvalıpınar Köyü,46778
145,Amasya,27,Göynücek,153,Başpınar Köyü,48260
146,Amasya,27,Göynücek,153,Bekdemir Köyü,153475
147,Amasya,27,Göynücek,153,Beşiktepe Köyü,48569
148,Amasya,27,Göynücek,153,Cumhuriyet,48315
149,Amasya,27,Göynücek,153,Çamurlu Köyü,48268
150,Amasya,27,Göynücek,153,Çayan Köyü,48868
151,Amasya,27,Göynücek,153,Çaykışla Köyü,48095
152,Amasya,27,Göynücek,153,Çulpara Köyü,48369
153,Amasya,27,Göynücek,153,Damlaçimen Köyü,47234
154,Amasya,27,Göynücek,153,Davutevi Köyü,48128
155,Amasya,27,Göynücek,153,Gediksaray Köyü,46779
156,Amasya,27,Göynücek,153,Gökçeli Köyü,153432
157,Amasya,27,Göynücek,153,Harmancık Köyü,48311
158,Amasya,27,Göynücek,153,Hasanbey Köyü,154244
159,Amasya,27,Göynücek,153,Ilısu Köyü,48239
160,Amasya,27,Göynücek,153,İkizyaka Köyü,48328
161,Amasya,27,Göynücek,153,Kafarlı Köyü,134259
162,Amasya,27,Göynücek,153,Karaşar Köyü,48337
163,Amasya,27,Göynücek,153,Karayakup Köyü,48661
164,Amasya,27,Göynücek,153,Kertme Köyü,48306
165,Amasya,27,Göynücek,153,Kervansaray Köyü,47463
